type,method,n_comp,var_explained
full,cpm,1,75.1848597553125
full,logcpm,3,92.77394218532403
full,rlog,3,93.09287377961219
full,vst,3,92.3329196910835
filter,cpm,1,75.18782297433934
filter,logcpm,3,92.86454198732787
filter,rlog,3,93.19333362009355
filter,vst,3,92.71069581950337
