gene,total,mean,var,sd,min,max,median
CNAG_00047,2154,71.8,598.648275862069,24.467289916581873,30,129,67.5
CNAG_00048,1988,66.26666666666667,1409.9264367816093,37.5489871605295,22,151,53.5
CNAG_00049,1535,51.166666666666664,372.14367816091954,19.291025845219313,8,80,52
CNAG_00050,4283,142.76666666666668,1782.5298850574713,42.22001758712887,39,228,136.5
CNAG_00051,10180,339.3333333333333,6163.264367816092,78.5064606756418,210,472,321
CNAG_00052,4941,164.7,26062.14827586207,161.43775356422074,20,572,99.5
CNAG_00053,3022,100.73333333333333,847.7885057471265,29.116807959443744,43,171,101
CNAG_00054,3992,133.06666666666666,15022.891954022989,122.56790752078209,21,419,58
CNAG_00055,25097,836.5666666666667,107575.97816091953,327.9877713588108,319,1591,730
CNAG_00056,8772,292.4,7447.558620689655,86.29923881871528,161,453,281
CNAG_00057,34117,1137.2333333333333,865381.9091954023,930.2590548849295,127,3257,899
CNAG_00058,48196,1606.5333333333333,163812.74022988506,404.73786606874955,844,2148,1713.5
CNAG_00059,3380,112.66666666666667,746.5747126436781,27.3235194044193,63,165,118
CNAG_00060,6236,207.86666666666667,1415.222988505747,37.61944960397144,129,285,204.5
CNAG_00061,269167,8972.233333333334,5435013.012643678,2331.31143621861,4332,12876,8777
CNAG_00062,30220,1007.3333333333334,73465.67816091955,271.0455278378884,505,1653,1053
CNAG_00063,12037,401.23333333333335,21321.081609195404,146.01740173416113,128,688,447.5
CNAG_00064,35786,1192.8666666666666,150371.29195402298,387.77737421621566,386,2096,1171.5
CNAG_00065,81099,2703.3,402427.3206896552,634.3715951157138,1370,3588,2895.5
CNAG_00066,7483,249.43333333333334,6558.047126436782,80.98177033404976,120,467,240
CNAG_00067,78241,2608.0333333333333,438738.1022988506,662.3730839178556,1324,4127,2557.5
CNAG_00068,3191,106.36666666666666,2032.6540229885059,45.08496448915653,39,196,101
CNAG_00069,605,20.166666666666668,115.316091954023,10.738533044788893,2,48,19
CNAG_00070,7946,264.8666666666667,10510.740229885057,102.52190122059314,91,435,235
CNAG_00072,29933,997.7666666666667,59195.9091954023,243.30209451503353,483,1409,1035
CNAG_00073,8873,295.76666666666665,3227.3574712643676,56.80983604328011,157,370,307.5
CNAG_00074,40091,1336.3666666666666,342504.8609195402,585.2391484850789,400,2465,1232.5
CNAG_00075,17429,580.9666666666667,53516.99885057471,231.33741342587606,230,1081,526.5
CNAG_00076,6980,232.66666666666666,3217.3333333333335,56.7215420570821,126,333,230
CNAG_00077,41135,1371.1666666666667,435541.3850574713,659.9555932465996,461,2945,1147.5
CNAG_00078,4540,151.33333333333334,1124.712643678161,33.536735733791396,75,206,150.5
CNAG_00079,5701,190.03333333333333,11021.82643678161,104.98488670652367,65,426,168.5
CNAG_00080,871,29.033333333333335,561.5505747126437,23.697058355682962,3,97,19.5
CNAG_00081,21601,720.0333333333333,13901.205747126436,117.90337462145193,412,923,721
CNAG_00082,5514,183.8,3439.062068965517,58.64351685366011,77,294,189.5
CNAG_00083,4309,143.63333333333333,637.5505747126437,25.249763854591663,78,180,146.5
CNAG_00084,25431,847.7,98015.94137931034,313.074977248758,279,1476,853
CNAG_00085,9591,319.7,8691.596551724138,93.22873243654092,143,451,332.5
CNAG_00086,17965,598.8333333333334,41420.2816091954,203.51973272681792,272,1218,586
CNAG_00087,8650,288.3333333333333,4919.126436781609,70.1364843486014,117,472,278
CNAG_00088,17606,586.8666666666667,16179.016091954023,127.19676132651344,276,770,609.5
CNAG_00089,10153,338.43333333333334,3743.3574712643676,61.182983510649166,217,452,343
CNAG_00090,12419,413.96666666666664,9821.964367816092,99.10582408625687,264,667,394.5
CNAG_00091,13801,460.03333333333336,574625.8264367816,758.0407815129615,30,2332,111
CNAG_00092,48422,1614.0666666666666,85933.30574712643,293.1438311599383,1011,2429,1591
CNAG_00093,13104,436.8,129520.16551724137,359.8891016927873,61,1288,292
CNAG_00094,1793,59.766666666666666,366.7367816091954,19.15037288433819,30,109,58.5
CNAG_00095,9168,305.6,3846.8689655172416,62.023132503262374,171,412,314.5
CNAG_00096,4589,152.96666666666667,1221.1367816091954,34.944767585565586,104,225,143.5
